model_id,task,format,denominator,valid_n,invalid_n,invalid_percent,classified_n,unclassified_n,failure_class_counts_complete
gemini38_flash,descriptive,json,100,100,0,0,0,0,True
gemini38_flash,descriptive,openscad,100,100,0,0,0,0,True
gemini38_flash,descriptive,cadquery,100,82,18,18,0,18,False
gemini38_flash,descriptive,threejs,100,94,6,6,0,6,False
claude_opus5,descriptive,json,100,100,0,0,0,0,True
claude_opus5,descriptive,openscad,100,100,0,0,0,0,True
grok46,descriptive,json,100,100,0,0,0,0,True
grok46,descriptive,openscad,100,100,0,0,0,0,True
gemini38_flash,parametric,json,100,100,0,0,0,0,True
gemini38_flash,parametric,openscad,100,100,0,0,0,0,True
claude_opus5,parametric,json,100,100,0,0,0,0,True
claude_opus5,parametric,openscad,100,100,0,0,0,0,True
grok46,parametric,json,100,100,0,0,0,0,True
grok46,parametric,openscad,100,100,0,0,0,0,True
gpt6_probe,descriptive,json,100,100,0,0,0,0,True
gpt6_probe,descriptive,openscad,100,100,0,0,0,0,True
gpt6_probe,parametric,json,100,100,0,0,0,0,True
gpt6_probe,parametric,openscad,100,100,0,0,0,0,True
gemini38_flash,parametric,cadquery,100,91,9,9,0,9,False
gemini38_flash,parametric,threejs,100,96,4,4,0,4,False
doubao21,parametric,json,100,99,1,1,0,1,False
doubao21,parametric,openscad,100,100,0,0,0,0,True
kimi_k3,descriptive,json,100,97,3,3,0,3,False
kimi_k3,descriptive,openscad,100,100,0,0,0,0,True
qwen38max,descriptive,json,100,100,0,0,0,0,True
qwen38max,descriptive,openscad,100,100,0,0,0,0,True
glm53_official,descriptive,json,100,100,0,0,0,0,True
glm53_official,descriptive,openscad,100,99,1,1,0,1,False
glm53flash,descriptive,json,100,98,2,2,0,2,False
glm53flash,descriptive,openscad,100,97,3,3,0,3,False
doubao21,descriptive,json,100,99,1,1,0,1,False
doubao21,descriptive,openscad,100,100,0,0,0,0,True
glm53_official,parametric,json,100,100,0,0,0,0,True
glm53_official,parametric,openscad,100,100,0,0,0,0,True
glm53flash,parametric,json,100,98,2,2,0,2,False
qwen38max,parametric,json,100,100,0,0,0,0,True
qwen38max,parametric,openscad,100,100,0,0,0,0,True
kimi_k3,parametric,openscad,100,100,0,0,0,0,True
kimi_k3,parametric,json,100,99,1,1,0,1,False
glm53flash,parametric,openscad,100,99,1,1,0,1,False
deepseek_v41flash,descriptive,json,100,100,0,0,0,0,True
deepseek_v41flash,descriptive,openscad,100,100,0,0,0,0,True
deepseek_v41flash,parametric,json,100,99,1,1,0,1,False
deepseek_v41flash,parametric,openscad,100,99,1,1,0,1,False
