model_id,task,format,uid,cohort,valid,failure_class,classification_status,strict_json_parseable,program,selected_error_detail,evidence
gemini38_flash,descriptive,cadquery,0013/00134405,gemini_supplemental,False,,not_assigned_in_selected_source,,programs/6f3be648d27ad51ae1d0420fd8977a075a5304f6d7672cdb2950155f5fc42974.py,"{""export_errors"": [""ERROR executing CadQuery code: 'Workplane' object has no attribute 'threePointsArc'""]}",cases/gemini38_flash_descriptive_cadquery_0013_00134405.json
gemini38_flash,descriptive,cadquery,0016/00169954,gemini_supplemental,False,,not_assigned_in_selected_source,,programs/b39b18d3b973277c6e5a026e968cd76429f58bca4dbed7c9a92de3744d9e3b5f.py,"{""export_errors"": [""ERROR executing CadQuery code: 'Workplane' object has no attribute 'threePointsArc'""]}",cases/gemini38_flash_descriptive_cadquery_0016_00169954.json
gemini38_flash,descriptive,cadquery,0010/00103639,gemini_supplemental,False,,not_assigned_in_selected_source,,programs/669c47ca4219c3a135936ab86f51c1d8b9e0fd795040e91e322529c50d30c90a.py,"{""export_errors"": [""ERROR executing CadQuery code: 'Workplane' object has no attribute 'threePointsArc'""]}",cases/gemini38_flash_descriptive_cadquery_0010_00103639.json
gemini38_flash,descriptive,cadquery,0073/00737056,gemini_supplemental,False,,not_assigned_in_selected_source,,programs/4fa9e375ee74dfe361ed9f01a43edd31da845b59138a136b9fc06c8a3ac38621.py,"{""export_errors"": [""ERROR executing CadQuery code: Sketch.circle() got an unexpected keyword argument 'origin'""]}",cases/gemini38_flash_descriptive_cadquery_0073_00737056.json
gemini38_flash,descriptive,cadquery,0072/00726428,gemini_supplemental,False,,not_assigned_in_selected_source,,programs/e7b400de530974169f2dea7a5b3e4e03197a3403a41c24b565bbe150e53b1825.py,"{""export_errors"": [""ERROR executing CadQuery code: unexpected indent (generated.py, line 8)""]}",cases/gemini38_flash_descriptive_cadquery_0072_00726428.json
gemini38_flash,descriptive,cadquery,0039/00397627,gemini_supplemental,False,,not_assigned_in_selected_source,,programs/7f041a8e3559f38b456248e3b7091415180bbe3de74a40b0421d153c3d77c58c.py,"{""export_errors"": [""ERROR executing CadQuery code: Workplane.cboreHole() got an unexpected keyword argument 'holeDiameter'""]}",cases/gemini38_flash_descriptive_cadquery_0039_00397627.json
gemini38_flash,descriptive,cadquery,0036/00369868,gemini_supplemental,False,,not_assigned_in_selected_source,,programs/d9c6ebc44330f37fdd9efe1391694b69ffd27e2bf17c22356b200332b3733b7f.py,"{""export_errors"": [""ERROR executing CadQuery code: 'Workplane' object has no attribute 'threePoints'""]}",cases/gemini38_flash_descriptive_cadquery_0036_00369868.json
gemini38_flash,descriptive,cadquery,0030/00307386,gemini_supplemental,False,,not_assigned_in_selected_source,,programs/ea4c14ef68b050492d21190e32a705c3209617901793849d4440666dcd308f8f.py,"{""export_errors"": [""ERROR executing CadQuery code: Workplane.cboreHole() got an unexpected keyword argument 'holeDiameter'""]}",cases/gemini38_flash_descriptive_cadquery_0030_00307386.json
gemini38_flash,descriptive,cadquery,0072/00724192,gemini_supplemental,False,,not_assigned_in_selected_source,,programs/39eff4fb1ecfb86a2c2b4401af58dbf458822c5747bcd3313387ec928034747e.py,"{""export_errors"": [""CadQuery export timed out (180s)""]}",cases/gemini38_flash_descriptive_cadquery_0072_00724192.json
gemini38_flash,descriptive,cadquery,0078/00789364,gemini_supplemental,False,,not_assigned_in_selected_source,,programs/4d79b15c909fc5cf2d60930f2f0286a929ce2fe5cabfbde82931d333de907cbc.py,"{""export_errors"": [""ERROR executing CadQuery code: 'Workplane' object has no attribute 'threePointsArc'""]}",cases/gemini38_flash_descriptive_cadquery_0078_00789364.json
gemini38_flash,descriptive,cadquery,0029/00292492,gemini_supplemental,False,,not_assigned_in_selected_source,,programs/bf2098057fb53671e7bf032143000970ef2781850e75c866b053b439ad19a2f5.py,"{""export_errors"": [""ERROR executing CadQuery code: 'Workplane' object has no attribute 'threePointsArc'""]}",cases/gemini38_flash_descriptive_cadquery_0029_00292492.json
gemini38_flash,descriptive,cadquery,0005/00052091,gemini_supplemental,False,,not_assigned_in_selected_source,,programs/736d42b9414b4382b43dff96b4f2f5569c280638404a778dad75c865c9bde009.py,"{""export_errors"": [""ERROR executing CadQuery code: Workplane.cboreHole() got an unexpected keyword argument 'holeDiameter'""]}",cases/gemini38_flash_descriptive_cadquery_0005_00052091.json
gemini38_flash,descriptive,cadquery,0034/00344679,gemini_supplemental,False,,not_assigned_in_selected_source,,programs/aa4a45f8bfb7e690bbeef1068f8ec6a8b8594ff84089e009b6039f3e16c0db94.py,"{""export_errors"": [""ERROR executing CadQuery code: 'Workplane' object has no attribute 'threePointsArc'""]}",cases/gemini38_flash_descriptive_cadquery_0034_00344679.json
gemini38_flash,descriptive,cadquery,0022/00225399,gemini_supplemental,False,,not_assigned_in_selected_source,,programs/9b3f969d12c4b2262af969190c91d25582f13d6fe7c4a36751d48b3b25ec28df.py,"{""export_errors"": [""ERROR executing CadQuery code: 'Workplane' object has no attribute 'threePointsArc'""]}",cases/gemini38_flash_descriptive_cadquery_0022_00225399.json
gemini38_flash,descriptive,cadquery,0010/00101896,gemini_supplemental,False,,not_assigned_in_selected_source,,programs/1dec42c030d140e69e61f67d0f124dc5b8279a2c96f980e96de391b0acf0068f.py,"{""export_errors"": [""ERROR executing CadQuery code: 'Workplane' object has no attribute 'threePointsArc'""]}",cases/gemini38_flash_descriptive_cadquery_0010_00101896.json
gemini38_flash,descriptive,cadquery,0054/00541109,gemini_supplemental,False,,not_assigned_in_selected_source,,programs/31aec03f06db2c820859c698b71b8094c2147e0049287308391c331aa3367b4c.py,"{""export_errors"": [""ERROR executing CadQuery code: 'Workplane' object has no attribute 'hull'""]}",cases/gemini38_flash_descriptive_cadquery_0054_00541109.json
gemini38_flash,descriptive,cadquery,0027/00279318,gemini_supplemental,False,,not_assigned_in_selected_source,,programs/890f58d12de36fab6fe10137340f2bce5ba2fbad48a86767f19f157ef6b1e99a.py,"{""export_errors"": [""ERROR executing CadQuery code: name 'lower_depth' is not defined""]}",cases/gemini38_flash_descriptive_cadquery_0027_00279318.json
gemini38_flash,descriptive,cadquery,0082/00827203,gemini_supplemental,False,,not_assigned_in_selected_source,,programs/f3be38e360cf15b7e20079c26aa361ee78d08295fb0b0f564155b96f296f0d44.py,"{""export_errors"": [""ERROR executing CadQuery code: There are no suitable edges for chamfer or fillet""]}",cases/gemini38_flash_descriptive_cadquery_0082_00827203.json
gemini38_flash,descriptive,threejs,0094/00941813,gemini_supplemental,False,,not_assigned_in_selected_source,,programs/d43fe0ccb43e900c66a9d49b06444187269dbbb142729c4e43d57115e4d8af29.js,"{""export_errors"": [""Node.js STL export failed: ERROR executing Three.js code: Unexpected end of input""]}",cases/gemini38_flash_descriptive_threejs_0094_00941813.json
gemini38_flash,descriptive,threejs,0047/00478097,gemini_supplemental,False,,not_assigned_in_selected_source,,programs/e4adf8c732804dffc478ac2a5782fe3230992c70a105c1df76e5778c40f6f988.js,"{""export_errors"": [""Node.js STL export failed: ERROR executing Three.js code: Unexpected end of input""]}",cases/gemini38_flash_descriptive_threejs_0047_00478097.json
gemini38_flash,descriptive,threejs,0092/00925049,gemini_supplemental,False,,not_assigned_in_selected_source,,programs/3e7c4d571ad04ae39e371ffd467da827ea9c5c324505116d10c34a1010b46308.js,"{""export_errors"": [""Node.js STL export failed: ERROR executing Three.js code: Unexpected end of input""]}",cases/gemini38_flash_descriptive_threejs_0092_00925049.json
gemini38_flash,descriptive,threejs,0087/00873073,gemini_supplemental,False,,not_assigned_in_selected_source,,programs/72b291d1f8fa3d1ff4740e46abc00919110bed04529a41bb9e87ffa51f91eed2.js,"{""export_errors"": [""Node.js STL export failed: ERROR executing Three.js code: Cannot read properties of null (reading 'count')""]}",cases/gemini38_flash_descriptive_threejs_0087_00873073.json
gemini38_flash,descriptive,threejs,0039/00397628,gemini_supplemental,False,,not_assigned_in_selected_source,,programs/ec185bf083a6596d7b1dec919a6583c54a97ca0be6879f8c893b9c09a3616d28.js,"{""local_eval_error"": ""alignment_failed""}",cases/gemini38_flash_descriptive_threejs_0039_00397628.json
gemini38_flash,descriptive,threejs,0010/00101896,gemini_supplemental,False,,not_assigned_in_selected_source,,programs/f8a22909d99bd3dddd13d1c4ea39675bf179dbf1251b0048687637a9f8b4492f.js,"{""export_errors"": [""Node.js STL export failed: ERROR executing Three.js code: Unexpected end of input""]}",cases/gemini38_flash_descriptive_threejs_0010_00101896.json
