model_id,model,effort,task,format,denominator,valid_n,valid,judge,qa_s,qa_p,qa_micro,jsem_filled_1_10,jsem_normalized,qa_s_correct,qa_p_correct,qa_s_total,qa_p_total,chamfer_distance,chamfer_distance_score,iou_csg,f_score_005,f_score_001,normal_consistency,no_open_edge,inverted_normal_score,non_manifold_edge_score,iou_measured_n,iou_inapplicable_n,geometry,topology
gpt6_probe,GPT-6,max,descriptive,json,100,100,1.0,0.9270833333333334,0.9775,,,8.89,0.8766666666666667,391,0,400,0,,,,,,,,,,,,,
gpt6_probe,GPT-6,max,descriptive,openscad,100,100,1.0,0.9256944444444444,0.9925,,,8.73,0.8588888888888888,397,0,400,0,,,,,,,,,,,,,
gpt6_probe,GPT-6,max,parametric,json,100,100,1.0,0.9108333333333333,0.9175,0.9075,0.9108333333333334,,,367,726,400,800,0.00132103,0.8678969999999999,0.6179851063829788,0.853318,0.411864,0.7557240000000001,0.96,1.0,0.99964911,94,6,0.6653548333333333,0.9865497033333334
gpt6_probe,GPT-6,max,parametric,openscad,100,100,1.0,0.9441666666666667,0.945,0.94375,0.9441666666666667,,,378,755,400,800,0.00072272,0.927728,0.6762322916666667,0.901841,0.44541400000000003,0.789562,1.0,1.0,0.99996595,96,4,0.7104991666666666,0.9999886499999999
qwen38max,Qwen3.8-Max,xhigh,descriptive,json,100,100,1.0,0.8673611111111111,0.9625,,,7.95,0.7722222222222223,385,0,400,0,,,,,,,,,,,,,
qwen38max,Qwen3.8-Max,xhigh,descriptive,openscad,100,100,1.0,0.9048611111111111,0.9875,,,8.4,0.8222222222222223,395,0,400,0,,,,,,,,,,,,,
qwen38max,Qwen3.8-Max,xhigh,parametric,json,100,100,1.0,0.8958333333333334,0.8775,0.905,0.8958333333333334,,,351,724,400,800,0.0011213,0.88787,0.6102922222222222,0.860236,0.409417,0.76202,0.94,1.0,0.9984423800000001,90,10,0.6701033333333334,0.9794807933333334
qwen38max,Qwen3.8-Max,xhigh,parametric,openscad,100,100,1.0,0.9175,0.91,0.92125,0.9175,,,364,737,400,800,0.00093273,0.9067270000000001,0.6503,0.8766039999999999,0.415935,0.773489,1.0,1.0,0.9999660699999999,90,10,0.6873596666666667,0.99998869
gemini38_flash,Gemini 3.8 Flash,high,descriptive,cadquery,100,82,0.82,0.6961111111111111,0.81,,,6.24,0.5822222222222223,324,0,400,0,,,,,,,,,,,,,
gemini38_flash,Gemini 3.8 Flash,high,descriptive,json,100,100,1.0,0.8555555555555554,0.96,,,7.76,0.751111111111111,384,0,400,0,,,,,,,,,,,,,
