uid,semantic_category,difficulty_level,original_benchmark_rank
0085/00852511,transmission_motion,5,1
0009/00099014,support_mounting,5,2
0071/00710826,support_mounting,4,3
0005/00057589,housing_enclosure,4,4
0015/00155951,support_mounting,4,5
0013/00134405,transmission_motion,4,6
0053/00531353,support_mounting,4,7
0094/00941813,housing_enclosure,4,8
0081/00817410,transmission_motion,4,9
0045/00457640,housing_enclosure,4,10
0047/00478097,housing_enclosure,4,11
0013/00135353,housing_enclosure,4,12
0062/00621494,support_mounting,4,13
0016/00169954,support_mounting,4,14
0039/00390147,support_mounting,4,15
0089/00895528,support_mounting,4,16
0030/00306122,support_mounting,4,17
0070/00706059,support_mounting,4,18
0008/00086411,support_mounting,4,19
0073/00732007,support_mounting,4,20
0010/00103639,transmission_motion,4,21
0019/00199917,support_mounting,4,22
0035/00350534,support_mounting,4,23
0043/00431078,support_mounting,4,24
0073/00737056,support_mounting,4,25
0078/00788594,housing_enclosure,4,26
0067/00677148,support_mounting,4,27
0093/00937375,support_mounting,4,28
0072/00726428,support_mounting,4,29
0049/00497058,connector_interface,4,30
0013/00133189,support_mounting,4,31
0024/00249966,transmission_motion,4,32
0004/00042777,support_mounting,4,33
0055/00553999,support_mounting,4,34
0068/00681400,support_mounting,4,35
0071/00714935,support_mounting,4,36
0022/00227442,housing_enclosure,4,37
0039/00397627,support_mounting,4,38
0026/00268024,support_mounting,4,39
0007/00073282,support_mounting,4,40
0036/00369868,support_mounting,4,41
0084/00844862,support_mounting,4,42
0026/00268027,support_mounting,4,43
0092/00925049,support_mounting,4,44
0072/00725542,transmission_motion,4,45
0015/00150938,support_mounting,4,46
0072/00726429,support_mounting,4,47
0065/00657969,transmission_motion,4,48
0031/00310774,support_mounting,4,49
0061/00618813,support_mounting,4,50
0030/00307386,support_mounting,4,51
0072/00724192,support_mounting,4,52
0018/00189804,support_mounting,4,53
0080/00807326,support_mounting,4,54
0078/00789364,support_mounting,4,55
0002/00029952,support_mounting,4,56
0005/00051224,support_mounting,4,57
0087/00873073,housing_enclosure,4,58
0077/00779770,support_mounting,4,59
0077/00778195,support_mounting,4,60
0039/00397628,support_mounting,4,61
0008/00089777,support_mounting,4,62
0075/00758810,support_mounting,4,63
0028/00284926,transmission_motion,4,64
0074/00741629,support_mounting,4,65
0097/00973497,support_mounting,4,66
0047/00474303,support_mounting,4,67
0061/00616188,support_mounting,4,68
0005/00051572,connector_interface,4,69
0025/00253807,support_mounting,4,70
0024/00242128,housing_enclosure,4,71
0029/00292492,other_mechanical_unclear,4,72
0054/00547865,housing_enclosure,4,73
0005/00052091,support_mounting,4,74
0034/00344679,transmission_motion,4,75
0092/00923543,support_mounting,4,76
0024/00242859,support_mounting,4,77
0079/00790247,support_mounting,4,78
0084/00843879,connector_interface,4,79
0010/00108226,support_mounting,4,80
0026/00268031,support_mounting,4,81
0022/00225399,support_mounting,4,82
0057/00570258,support_mounting,4,83
0010/00101896,support_mounting,4,84
0061/00619989,connector_interface,4,85
0022/00226013,support_mounting,4,86
0052/00523563,housing_enclosure,4,87
0036/00361447,connector_interface,4,88
0070/00709862,transmission_motion,4,89
0054/00541109,support_mounting,4,90
0086/00866616,support_mounting,4,91
0027/00279318,support_mounting,4,92
0082/00827203,housing_enclosure,4,93
0039/00391450,support_mounting,4,94
0013/00135378,support_mounting,4,95
0093/00934405,support_mounting,4,96
0056/00568816,other_mechanical_unclear,4,97
0072/00728052,support_mounting,4,98
0021/00210983,housing_enclosure,4,99
0046/00460772,support_mounting,4,100
