model_id,task,metric,json,openscad,openscad_minus_json,per_format_denominator
gpt6_probe,descriptive,valid,1.0,1.0,0.0,100
gpt6_probe,descriptive,judge,0.9270833333333334,0.9256944444444444,-0.001388888888888995,100
gpt6_probe,descriptive,qa_s,0.9775,0.9925,0.015000000000000013,100
gpt6_probe,descriptive,jsem_normalized,0.8766666666666667,0.8588888888888888,-0.017777777777777892,100
gpt6_probe,parametric,valid,1.0,1.0,0.0,100
gpt6_probe,parametric,judge,0.9108333333333333,0.9441666666666667,0.03333333333333344,100
gpt6_probe,parametric,qa_s,0.9175,0.945,0.02749999999999997,100
gpt6_probe,parametric,qa_p,0.9075,0.94375,0.036250000000000004,100
gpt6_probe,parametric,geometry,0.6653548333333333,0.7104991666666666,0.04514433333333323,100
gpt6_probe,parametric,topology,0.9865497033333334,0.9999886499999999,0.013438946666666562,100
qwen38max,descriptive,valid,1.0,1.0,0.0,100
qwen38max,descriptive,judge,0.8673611111111111,0.9048611111111111,0.03749999999999998,100
qwen38max,descriptive,qa_s,0.9625,0.9875,0.025000000000000022,100
qwen38max,descriptive,jsem_normalized,0.7722222222222223,0.8222222222222223,0.050000000000000044,100
qwen38max,parametric,valid,1.0,1.0,0.0,100
qwen38max,parametric,judge,0.8958333333333334,0.9175,0.021666666666666612,100
qwen38max,parametric,qa_s,0.8775,0.91,0.032500000000000084,100
qwen38max,parametric,qa_p,0.905,0.92125,0.016249999999999987,100
qwen38max,parametric,geometry,0.6701033333333334,0.6873596666666667,0.017256333333333318,100
qwen38max,parametric,topology,0.9794807933333334,0.99998869,0.020507896666666636,100
gemini38_flash,descriptive,valid,1.0,1.0,0.0,100
gemini38_flash,descriptive,judge,0.8555555555555554,0.8763888888888889,0.02083333333333348,100
gemini38_flash,descriptive,qa_s,0.96,0.995,0.03500000000000003,100
gemini38_flash,descriptive,jsem_normalized,0.751111111111111,0.7577777777777777,0.00666666666666671,100
gemini38_flash,parametric,valid,1.0,1.0,0.0,100
gemini38_flash,parametric,judge,0.8808333333333334,0.93,0.04916666666666669,100
gemini38_flash,parametric,qa_s,0.8575,0.9175,0.05999999999999994,100
gemini38_flash,parametric,qa_p,0.8925,0.93625,0.04375000000000007,100
gemini38_flash,parametric,geometry,0.67806275,0.7053489166666667,0.02728616666666661,100
gemini38_flash,parametric,topology,0.9863895366666666,0.99997639,0.013586853333333426,100
kimi_k3,descriptive,valid,0.97,1.0,0.030000000000000027,100
kimi_k3,descriptive,judge,0.8309722222222222,0.9077777777777777,0.07680555555555546,100
