model_id,task,format,uid,valid,qa_s_correct,qa_p_correct,qa_s,qa_p,jsem_filled_1_10,jsem_observed,jsem_normalized,judge,qa_micro,chamfer_distance,chamfer_distance_score,iou_csg,f_score_005,f_score_001,normal_consistency,no_open_edge,inverted_normal_score,non_manifold_edge_score,iou_measured,iou_inapplicable,geometry,topology
gemini38_flash,descriptive,cadquery,0013/00134405,False,0,0,0.0,,1.0,,0.0,0.0,,,,,,,,,,,,,,
gemini38_flash,descriptive,cadquery,0016/00169954,False,0,0,0.0,,1.0,,0.0,0.0,,,,,,,,,,,,,,
gemini38_flash,descriptive,cadquery,0010/00103639,False,0,0,0.0,,1.0,,0.0,0.0,,,,,,,,,,,,,,
gemini38_flash,descriptive,cadquery,0073/00737056,False,0,0,0.0,,1.0,,0.0,0.0,,,,,,,,,,,,,,
gemini38_flash,descriptive,cadquery,0072/00726428,False,0,0,0.0,,1.0,,0.0,0.0,,,,,,,,,,,,,,
gemini38_flash,descriptive,cadquery,0039/00397627,False,0,0,0.0,,1.0,,0.0,0.0,,,,,,,,,,,,,,
gemini38_flash,descriptive,cadquery,0036/00369868,False,0,0,0.0,,1.0,,0.0,0.0,,,,,,,,,,,,,,
gemini38_flash,descriptive,cadquery,0030/00307386,False,0,0,0.0,,1.0,,0.0,0.0,,,,,,,,,,,,,,
gemini38_flash,descriptive,cadquery,0072/00724192,False,0,0,0.0,,1.0,,0.0,0.0,,,,,,,,,,,,,,
gemini38_flash,descriptive,cadquery,0078/00789364,False,0,0,0.0,,1.0,,0.0,0.0,,,,,,,,,,,,,,
gemini38_flash,descriptive,cadquery,0029/00292492,False,0,0,0.0,,1.0,,0.0,0.0,,,,,,,,,,,,,,
gemini38_flash,descriptive,cadquery,0005/00052091,False,0,0,0.0,,1.0,,0.0,0.0,,,,,,,,,,,,,,
gemini38_flash,descriptive,cadquery,0034/00344679,False,0,0,0.0,,1.0,,0.0,0.0,,,,,,,,,,,,,,
gemini38_flash,descriptive,cadquery,0022/00225399,False,0,0,0.0,,1.0,,0.0,0.0,,,,,,,,,,,,,,
gemini38_flash,descriptive,cadquery,0010/00101896,False,0,0,0.0,,1.0,,0.0,0.0,,,,,,,,,,,,,,
gemini38_flash,descriptive,cadquery,0054/00541109,False,0,0,0.0,,1.0,,0.0,0.0,,,,,,,,,,,,,,
gemini38_flash,descriptive,cadquery,0027/00279318,False,0,0,0.0,,1.0,,0.0,0.0,,,,,,,,,,,,,,
gemini38_flash,descriptive,cadquery,0082/00827203,False,0,0,0.0,,1.0,,0.0,0.0,,,,,,,,,,,,,,
gemini38_flash,descriptive,threejs,0094/00941813,False,0,0,0.0,,1.0,,0.0,0.0,,,,,,,,,,,,,,
gemini38_flash,descriptive,threejs,0047/00478097,False,0,0,0.0,,1.0,,0.0,0.0,,,,,,,,,,,,,,
gemini38_flash,descriptive,threejs,0092/00925049,False,0,0,0.0,,1.0,,0.0,0.0,,,,,,,,,,,,,,
gemini38_flash,descriptive,threejs,0087/00873073,False,0,0,0.0,,1.0,,0.0,0.0,,,,,,,,,,,,,,
gemini38_flash,descriptive,threejs,0039/00397628,False,0,0,0.0,,1.0,,0.0,0.0,,,,,,,,,,,,,,
