model_id,task,formats,per_format_denominator,valid,judge,qa_s,qa_p,jsem_normalized,geometry,topology
gpt6_probe,descriptive,json+openscad,100,1.0,0.9263888888888889,0.9850000000000001,,0.8677777777777778,,
gpt6_probe,parametric,json+openscad,100,1.0,0.9275,0.9312499999999999,0.9256249999999999,,0.687927,0.9932691766666666
qwen38max,descriptive,json+openscad,100,1.0,0.8861111111111111,0.9750000000000001,,0.7972222222222223,,
qwen38max,parametric,json+openscad,100,1.0,0.9066666666666667,0.89375,0.913125,,0.6787315,0.9897347416666666
gemini38_flash,descriptive,json+openscad,100,1.0,0.8659722222222221,0.9775,,0.7544444444444443,,
gemini38_flash,parametric,json+openscad,100,1.0,0.9054166666666668,0.8875,0.9143749999999999,,0.6917058333333334,0.9931829633333333
kimi_k3,descriptive,json+openscad,100,0.985,0.869375,0.94375,,0.7949999999999999,,
kimi_k3,parametric,json+openscad,100,0.995,0.9125000000000001,0.89875,0.919375,,0.6698890416666667,0.9879654666666666
grok46,descriptive,json+openscad,100,1.0,0.8590277777777778,0.9775,,0.7405555555555556,,
grok46,parametric,json+openscad,100,1.0,0.8958333333333333,0.86875,0.909375,,0.687064125,0.994820775
claude_opus5,descriptive,json+openscad,100,1.0,0.8460416666666666,0.95375,,0.7383333333333333,,
claude_opus5,parametric,json+openscad,100,1.0,0.9116666666666666,0.90625,0.9143749999999999,,0.6760817916666667,0.9947821283333333
glm53_official,descriptive,json+openscad,100,0.995,0.8523611111111111,0.9175,,0.7872222222222222,,
glm53_official,parametric,json+openscad,100,1.0,0.9,0.89625,0.901875,,0.6558852083333333,0.9946769149999999
deepseek_v41flash,descriptive,json+openscad,100,1.0,0.8623611111111111,0.9425,,0.7822222222222224,,
deepseek_v41flash,parametric,json+openscad,100,0.99,0.88625,0.85375,0.9025,,0.6552879166666667,0.9827880683333334
doubao21,descriptive,json+openscad,100,0.995,0.8421527777777778,0.90875,,0.7755555555555556,,
doubao21,parametric,json+openscad,100,0.995,0.8866666666666667,0.86625,0.896875,,0.6462531666666667,0.9880923733333333
glm53flash,descriptive,json+openscad,100,0.975,0.8109722222222222,0.8875,,0.7344444444444443,,
glm53flash,parametric,json+openscad,100,0.985,0.8720833333333333,0.845,0.885625,,0.6075105833333333,0.9763950016666667
