model_id,model,effort,desc_judge,desc_valid,geometry,param_judge,param_valid,text_p3d_score,topology,usd_per_case,total_standard_cost_usd,cost_usage_kind
gpt6_probe,GPT-6,xhigh,92.63888888888889,100.0,68.7927,92.75,100.0,84.7271962962963,99.32691766666667,0.59202018,59.202018,selected_response_usage
qwen38max,Qwen3.8-Max,xhigh,88.61111111111111,100.0,67.87315000000001,90.66666666666667,100.0,82.3836425925926,98.97347416666666,0.41022307971,41.022307971,selected_response_usage
gemini38_flash,Gemini 3.8 Flash,high,86.59722222222221,100.0,69.17058333333334,90.54166666666667,100.0,82.10315740740741,99.31829633333334,0.31527327,31.527327,selected_response_usage
kimi_k3,Kimi K3,max,86.9375,98.5,66.98890416666667,91.25000000000001,99.5,81.72546805555557,98.79654666666666,0.48601371,48.601371,official_tokenizer_estimate
grok46,Grok 4.6,high,85.90277777777779,100.0,68.7064125,89.58333333333333,100.0,81.39750787037038,99.4820775,0.31256292,31.256292,selected_response_usage
claude_opus5,Claude Opus 5,max,84.60416666666666,100.0,67.60817916666667,91.16666666666666,100.0,81.12633749999999,99.47821283333333,0.47622545,47.622545,selected_response_usage
glm53_official,GLM-5.3,high,85.23611111111111,99.5,65.58852083333333,90.0,100.0,80.27487731481482,99.4676915,0.1088919736,10.88919736,selected_response_usage
deepseek_v41flash,DeepSeek V4.1 Flash,high,86.23611111111111,100.0,65.52879166666668,88.625,99.0,80.12996759259259,98.27880683333333,0.05901147744,5.901147744,selected_response_usage
doubao21,Doubao Seed 2.1 Pro,Thinking,84.21527777777777,99.5,64.62531666666666,88.66666666666667,99.5,79.16908703703704,98.80923733333333,0.63759342,63.759342,selected_response_usage
glm53flash,GLM-5.3-Flash,high,81.09722222222221,97.5,60.75105833333333,87.20833333333333,98.5,76.35220462962963,97.63950016666666,0.0032635956,0.32635956,selected_response_usage
