model_id,task,format,uid,valid,qa_s_correct,qa_p_correct,qa_s,qa_p,jsem_filled_1_10,jsem_observed,jsem_normalized,judge,qa_micro,chamfer_distance,chamfer_distance_score,iou_csg,f_score_005,f_score_001,normal_consistency,no_open_edge,inverted_normal_score,non_manifold_edge_score,iou_measured,iou_inapplicable,geometry,topology
gemini38_flash,descriptive,json,0085/00852511,True,4,0,1.0,,10,10,1.0,1.0,,,,,,,,,,,,,,
gemini38_flash,descriptive,json,0009/00099014,True,4,0,1.0,,7,7,0.6666666666666666,0.8333333333333333,,,,,,,,,,,,,,
gemini38_flash,descriptive,json,0071/00710826,True,3,0,0.75,,6,6,0.5555555555555556,0.6527777777777778,,,,,,,,,,,,,,
gemini38_flash,descriptive,json,0005/00057589,True,4,0,1.0,,10,10,1.0,1.0,,,,,,,,,,,,,,
gemini38_flash,descriptive,json,0015/00155951,True,4,0,1.0,,5,5,0.4444444444444444,0.7222222222222222,,,,,,,,,,,,,,
gemini38_flash,descriptive,json,0013/00134405,True,4,0,1.0,,10,10,1.0,1.0,,,,,,,,,,,,,,
gemini38_flash,descriptive,json,0053/00531353,True,4,0,1.0,,7,7,0.6666666666666666,0.8333333333333333,,,,,,,,,,,,,,
gemini38_flash,descriptive,json,0094/00941813,True,4,0,1.0,,10,10,1.0,1.0,,,,,,,,,,,,,,
gemini38_flash,descriptive,json,0081/00817410,True,3,0,0.75,,10,10,1.0,0.875,,,,,,,,,,,,,,
gemini38_flash,descriptive,json,0045/00457640,True,3,0,0.75,,7,7,0.6666666666666666,0.7083333333333333,,,,,,,,,,,,,,
gemini38_flash,descriptive,json,0047/00478097,True,4,0,1.0,,10,10,1.0,1.0,,,,,,,,,,,,,,
gemini38_flash,descriptive,json,0013/00135353,True,4,0,1.0,,10,10,1.0,1.0,,,,,,,,,,,,,,
gemini38_flash,descriptive,json,0062/00621494,True,4,0,1.0,,8,8,0.7777777777777778,0.8888888888888888,,,,,,,,,,,,,,
gemini38_flash,descriptive,json,0016/00169954,True,4,0,1.0,,10,10,1.0,1.0,,,,,,,,,,,,,,
gemini38_flash,descriptive,json,0039/00390147,True,4,0,1.0,,10,10,1.0,1.0,,,,,,,,,,,,,,
